journal,database,category,publisher,cas,is_top
Balkan Journal of Philosophy,ESCI;,Philosophy ,ACAD PUBL HOUSE,4,0
Berichte zur Wissenschaftsgeschichte,SSCI;AHCISCIE;,Philosophy ,WILEY-V C H VERLAG GMBH,2,0
Beytulhikme-An International Journal of Philosophy,ESCI;,Philosophy ,BEYTULHIKME FELSEFE CEVRESI,4,0
Bible Translator,ESCI;,Philosophy ,SAGE PUBLICATIONS LTD,4,0
BIBLICA,AHCI,Philosophy ,PEETERS,3,0
Biblical Annals,ESCI;,Philosophy ,JOHN PAUL II CATHOLIC UNIV LUBLIN,3,0
Biblical Interpretation-A Journal of Contemporary Approaches,AHCI,Philosophy ,BRILL,3,0
Biblical Theology Bulletin,ESCI;,Philosophy ,SAGE PUBLICATIONS LTD,4,0
BIBLISCHE ZEITSCHRIFT,AHCI,Philosophy ,BRILL,3,0
Bilimname,ESCI;,Philosophy ,ILAHIYAT BILIMLERI ARASTIRMA VAKFI,4,0
BIOETHICS,SSCI;SCIE;,Philosophy ,WILEY,3,0
Biological Theory,ESCI;,Philosophy ,SPRINGERNATURE,2,0
BIOLOGY & PHILOSOPHY,SSCI;AHCISCIE;,Philosophy ,SPRINGER,3,0
BLACK SCHOLAR,ESCI;,Philosophy ,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,0
BLACK THEOLOGY,ESCI;,Philosophy ,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3,0
BMC Medical Ethics,SSCI;SCIE;,Philosophy ,BMC,1,1
Bogoslovni Vestnik-Theological Quarterly-Ephemerides Theologicae,ESCI;,Philosophy ,"UNIV LJUBLJANI, TEOLOSKA FAKULTET",2,0
Bogoslovska Smotra-Ephemerides Theologicae Zagrabienses,ESCI;,Philosophy ,"UNIV ZAGREB, CATHOLIC FAC THEOLOGY",4,0
Bollettino di Storia delle Scienze Matematiche,AHCISCIE;,Philosophy ,FABRIZIO SERRA EDITORE,4,0
Bollettino Filosofico,ESCI;,Philosophy ,CAB-CENTER LIBRARIES FEDERICO II UNIV NAPLES,4,0
British Catholic History,AHCI,Philosophy ,CAMBRIDGE UNIV PRESS,3,0
British Journal for the History of Philosophy,AHCI,Philosophy ,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1,1
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,SSCI;AHCISCIE;,Philosophy ,UNIV CHICAGO PRESS,1,1
Catholic Social Science Review,ESCI;,Philosophy ,SOC CATHOLIC SOCIAL SCIENTISTS,4,0
British Journal of Religious Education,SSCI;AHCI,Philosophy ,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,0
Buddhist-Christian Studies,ESCI;,Philosophy ,UNIV HAWAII PRESS,4,0
Bulletin of Medieval Canon Law-New Series,ESCI;,Philosophy ,CATHOLIC UNIV AMER PRESS,4,0
BULLETIN OF THE HISTORY OF MEDICINE,SSCI;AHCISCIE;,Philosophy ,JOHNS HOPKINS UNIV PRESS,3,0
Bulletin of the Peabody Museum of Natural History,SCIE;,Philosophy ,PEABODY MUSEUM NATURAL HISTORY-YALE UNIV,1,1
BUSINESS & PROFESSIONAL ETHICS JOURNAL,ESCI;,Philosophy ,PHILOSOPHY DOCUMENTATION CENTER,4,0
BUSINESS ETHICS QUARTERLY,SSCI;,Philosophy ,CAMBRIDGE UNIV PRESS,1,1
Business Ethics the Environment & Responsibility,SSCI;,Philosophy ,WILEY,2,0
Cahiers d Etudes du Religieux-Recherches Interdisciplinaires,ESCI;,Philosophy ,CENTRE INTERDISCIPLINAIRE ETUDES RELIGIEUX,4,0
